"Time","Temp Avg","Temp Low","Temp High","Heat Index","Wind Chill","Temp (Day) Low","Temp (Day) High","Hum Avg","Hum Low","Hum High","Dew Point","Hum (Day) Low","Hum (Day) High","Baro Avg","Baro Low","Baro High","Baro (Day) Low","Baro (Day) High","Windspeed","Wind Direction","Gust","Gust Direction","Gust (Day) Max","Gust (Day) Direction","Leaf Wetness (Minutes)","Leaf Wetness (Day)","Solar Radiation Avg","Solar Radiation Sum (Interval)","Solar Radiation Sum (Day)","Interval Precip","Day Precip","Inside Temp Avg","Inside Temp Low","Inside Temp High","Inside Temp (Day) Low","Inside Temp (Day) High","Station Voltage","UV Index"
"2021-07-18 00:00:00","68.0","68.0","68.0","68.0","68.0","68.0","77.5","81","81","81","61.9","56","81","30.12","30.12","30.12","30.05","30.14","0.0","337","0.0","45","8.1","45",,,,,,"0.00","0.00","68.0","68.0","68.0","64.0","68.0","6.6",
"2021-07-18 00:01:00","68.0","68.0","68.0","68.0","68.0","68.0","68.0","81","81","81","61.9","81","81","30.12","30.12","30.12","30.12","30.12","0.0","337","0.0","337","0.0","337",,,,,,"0.00","0.00","68.0","68.0","68.0","68.0","68.0","6.6",
"2021-07-18 00:02:00","67.9","67.9","68.0","67.9","67.9","67.9","68.0","81","81","81","61.8","81","81","30.12","30.12","30.12","30.12","30.12","0.0","337","0.0","337","0.0","337",,,,,,"0.00","0.00","68.0","68.0","68.0","68.0","68.0","6.6",
"2021-07-18 00:03:00","67.9","67.9","67.9","67.9","67.9","67.9","68.0","81","81","81","61.8","81","81","30.12","30.12","30.12","30.12","30.12","0.0","337","0.0","337","0.0","337",,,,,,"0.00","0.00","68.0","68.0","68.0","68.0","68.0","6.6",
"2021-07-18 00:04:00","67.9","67.9","67.9","67.9","67.9","67.9","68.0","81","81","81","61.8","81","81","30.12","30.12","30.12","30.12","30.12","0.0","337","0.0","337","0.0","337",,,,,,"0.00","0.00","68.0","68.0","68.0","68.0","68.0","6.6",
"2021-07-18 00:05:00","67.9","67.9","67.9","67.9","67.9","67.9","68.0","81","81","81","61.8","81","81","30.12","30.12","30.12","30.12","30.12","0.0","337","0.0","337","0.0","337",,,,,,"0.00","0.00","68.0","68.0","68.0","68.0","68.0","6.6",
"2021-07-18 00:06:00","67.8","67.7","67.9","67.8","67.8","67.7","68.0","81","81","81","61.7","81","81","30.12","30.12","30.12","30.12","30.12","0.0","337","0.0","337","0.0","337",,,,,,"0.00","0.00","67.0","67.0","67.0","67.0","68.0","6.6",
"2021-07-18 00:07:00","67.7","67.7","67.7","67.7","67.7","67.7","68.0","81","81","81","61.7","81","81","30.12","30.12","30.12","30.12","30.12","0.0","337","0.0","337","0.0","337",,,,,,"0.00","0.00","67.0","67.0","67.0","67.0","68.0","6.6",
"2021-07-18 00:08:00","67.7","67.7","67.7","67.7","67.7","67.7","68.0","81","81","81","61.7","81","81","30.12","30.12","30.12","30.12","30.12","0.0","337","0.0","337","0.0","337",,,,,,"0.00","0.00","67.0","67.0","67.0","67.0","68.0","6.6",
"2021-07-18 00:09:00","67.7","67.7","67.7","67.7","67.7","67.7","68.0","81","81","81","61.7","81","81","30.12","30.12","30.12","30.12","30.12","0.0","337","0.0","337","0.0","337",,,,,,"0.00","0.00","66.0","66.0","66.0","66.0","68.0","6.6",
"2021-07-18 00:10:00","67.7","67.7","67.7","67.7","67.7","67.7","68.0","81","81","81","61.7","81","81","30.12","30.12","30.12","30.12","30.12","0.0","337","0.0","337","0.0","337",,,,,,"0.00","0.00","66.0","66.0","66.0","66.0","68.0","6.6",
"2021-07-18 00:11:00","67.7","67.7","67.7","67.7","67.7","67.7","68.0","81","81","81","61.7","81","81","30.12","30.12","30.12","30.12","30.12","0.0","337","0.0","337","0.0","337",,,,,,"0.00","0.00","66.0","66.0","66.0","66.0","68.0","6.6",
"2021-07-18 00:12:00","67.7","67.7","67.7","67.7","67.7","67.7","68.0","81","81","81","61.7","81","81","30.12","30.12","30.12","30.12","30.12","0.0","337","0.0","337","0.0","337",,,,,,"0.00","0.00","66.0","66.0","66.0","66.0","68.0","6.6",
"2021-07-18 00:13:00","67.7","67.7","67.7","67.7","67.7","67.7","68.0","81","81","81","61.7","81","81","30.12","30.12","30.12","30.12","30.12","0.0","337","0.0","337","0.0","337",,,,,,"0.00","0.00","65.0","65.0","65.0","65.0","68.0","6.6",
"2021-07-18 00:14:00","67.7","67.7","67.7","67.7","67.7","67.7","68.0","81","81","81","61.7","81","81","30.12","30.12","30.12","30.12","30.12","0.0","337","0.0","337","0.0","337",,,,,,"0.00","0.00","65.0","65.0","65.0","65.0","68.0","6.6",
"2021-07-18 00:15:00","67.7","67.7","67.7","67.7","67.7","67.7","68.0","81","81","81","61.7","81","81","30.12","30.12","30.12","30.12","30.12","0.0","337","0.0","337","0.0","337",,,,,,"0.00","0.00","65.9","65.0","65.0","65.0","68.0","6.6",
"2021-07-18 00:16:00","67.8","67.7","67.9","67.8","67.8","67.7","68.0","81","81","81","61.7","81","81","30.12","30.12","30.12","30.12","30.12","0.0","337","0.0","337","0.0","337",,,,,,"0.00","0.00","66.0","66.0","66.0","65.0","68.0","6.6",
"2021-07-18 00:17:00","67.9","67.9","67.9","67.9","67.9","67.7","68.0","81","81","81","61.8","81","81","30.12","30.12","30.12","30.12","30.12","0.0","337","0.0","337","0.0","337",,,,,,"0.00","0.00","66.0","66.0","66.0","65.0","68.0","6.6",
"2021-07-18 00:18:00","67.9","67.9","67.9","67.9","67.9","67.7","68.0","81","81","81","61.8","81","81","30.12","30.12","30.12","30.12","30.12","0.0","337","0.0","337","0.0","337",,,,,,"0.00","0.00","66.0","66.0","66.0","65.0","68.0","6.6",
"2021-07-18 00:19:00","67.9","67.9","67.9","67.9","67.9","67.7","68.0","81","81","81","61.8","81","81","30.11","30.12","30.11","30.11","30.12","0.0","337","0.0","337","0.0","337",,,,,,"0.00","0.00","66.0","66.0","66.0","65.0","68.0","6.6",
"2021-07-18 00:20:00","67.9","67.9","67.9","67.9","67.9","67.7","68.0","81","81","81","61.8","81","81","30.11","30.11","30.11","30.11","30.12","0.0","337","0.0","337","0.0","337",,,,,,"0.00","0.00","66.9","66.0","66.0","65.0","68.0","6.6",
"2021-07-18 00:21:00","67.9","67.9","67.9","67.9","67.9","67.7","68.0","81","81","81","61.8","81","81","30.11","30.11","30.11","30.11","30.12","0.0","344","0.0","337","0.0","337",,,,,,"0.00","0.00","67.0","67.0","67.0","65.0","68.0","6.6",
"2021-07-18 00:22:00","67.9","67.9","68.0","67.9","67.9","67.7","68.0","81","81","81","61.8","81","81","30.11","30.11","30.11","30.11","30.12","0.0","360","0.0","337","0.0","337",,,,,,"0.00","0.00","67.0","67.0","67.0","65.0","68.0","6.6",
"2021-07-18 00:23:00","68.0","68.0","68.0","68.0","68.0","67.7","68.0","81","81","81","61.9","81","81","30.11","30.11","30.11","30.11","30.12","0.0","360","0.0","337","0.0","337",,,,,,"0.00","0.00","67.0","67.0","67.0","65.0","68.0","6.6",
"2021-07-18 00:24:00","68.0","68.0","68.0","68.0","68.0","67.7","68.0","81","81","81","61.9","81","81","30.12","30.12","30.11","30.11","30.12","0.0","360","0.0","337","0.0","337",,,,,,"0.00","0.00","67.0","67.0","67.0","65.0","68.0","6.6",
"2021-07-18 00:25:00","68.0","68.0","68.0","68.0","68.0","67.7","68.0","81","81","81","61.9","81","81","30.12","30.12","30.12","30.11","30.12","0.0","360","0.0","337","0.0","337",,,,,,"0.00","0.00","67.0","67.0","67.0","65.0","68.0","6.6",
"2021-07-18 00:26:00","68.0","68.0","68.0","68.0","68.0","67.7","68.0","81","81","81","61.9","81","81","30.11","30.12","30.11","30.11","30.12","0.0","360","0.0","337","0.0","337",,,,,,"0.00","0.00","67.9","67.0","67.0","65.0","68.0","6.6",
"2021-07-18 00:27:00","68.1","68.0","68.2","68.1","68.1","67.7","68.2","81","81","81","62.0","81","81","30.11","30.11","30.11","30.11","30.12","0.0","360","0.0","337","0.0","337",,,,,,"0.00","0.00","68.0","68.0","68.0","65.0","68.0","6.6",
"2021-07-18 00:28:00","68.2","68.2","68.2","68.2","68.2","67.7","68.2","81","81","81","62.1","81","81","30.11","30.11","30.11","30.11","30.12","0.0","360","0.0","337","0.0","337",,,,,,"0.00","0.00","68.0","68.0","68.0","65.0","68.0","6.6",
"2021-07-18 00:29:00","68.2","68.2","68.2","68.2","68.2","67.7","68.2","81","81","81","62.1","81","81","30.12","30.12","30.11","30.11","30.12","0.0","360","0.0","337","0.0","337",,,,,,"0.00","0.00","68.0","68.0","68.0","65.0","68.0","6.6",
"2021-07-18 00:30:00","68.2","68.2","68.2","68.2","68.2","67.7","68.2","81","81","82","62.1","81","82","30.12","30.12","30.12","30.11","30.12","0.0","360","0.0","337","0.0","337",,,,,,"0.00","0.00","68.0","68.0","68.0","65.0","68.0","6.6",
"2021-07-18 00:31:00","68.2","68.2","68.2","68.2","68.2","67.7","68.2","82","82","82","62.5","81","82","30.12","30.12","30.12","30.11","30.12","0.0","360","0.0","337","0.0","337",,,,,,"0.00","0.00","68.0","68.0","68.0","65.0","68.0","6.6",
"2021-07-18 00:32:00","68.2","68.2","68.2","68.2","68.2","67.7","68.2","82","82","82","62.5","81","82","30.11","30.12","30.11","30.11","30.12","0.0","360","0.0","337","0.0","337",,,,,,"0.00","0.00","67.0","67.0","67.0","65.0","68.0","6.6",
"2021-07-18 00:33:00","68.2","68.2","68.2","68.2","68.2","67.7","68.2","82","82","82","62.5","81","82","30.11","30.11","30.11","30.11","30.12","0.0","11","0.0","337","0.0","337",,,,,,"0.00","0.00","67.0","67.0","67.0","65.0","68.0","6.6",
"2021-07-18 00:34:00","68.2","68.2","68.2","68.2","68.2","67.7","68.2","82","82","82","62.5","81","82","30.11","30.11","30.11","30.11","30.12","0.0","44","0.0","337","0.0","337",,,,,,"0.00","0.00","67.0","67.0","67.0","65.0","68.0","6.6",
"2021-07-18 00:35:00","68.3","68.2","68.4","68.3","68.3","67.7","68.4","82","82","82","62.6","81","82","30.11","30.11","30.11","30.11","30.12","0.0","45","0.0","337","0.0","337",,,,,,"0.00","0.00","66.0","66.0","66.0","65.0","68.0","6.6",
"2021-07-18 00:36:00","68.4","68.4","68.4","68.4","68.4","67.7","68.4","82","82","82","62.7","81","82","30.11","30.11","30.11","30.11","30.12","0.0","45","0.0","337","0.0","337",,,,,,"0.00","0.00","66.0","66.0","66.0","65.0","68.0","6.6",
"2021-07-18 00:37:00","68.4","68.4","68.5","68.4","68.4","67.7","68.5","82","82","82","62.7","81","82","30.11","30.11","30.11","30.11","30.12","0.0","53","0.0","337","0.0","337",,,,,,"0.00","0.00","66.0","66.0","66.0","65.0","68.0","6.6",
"2021-07-18 00:38:00","68.5","68.5","68.5","68.5","68.5","67.7","68.5","82","82","82","62.8","81","82","30.11","30.11","30.11","30.11","30.12","0.0","67","0.0","337","0.0","337",,,,,,"0.00","0.00","65.0","65.0","65.0","65.0","68.0","6.6",
"2021-07-18 00:39:00","68.5","68.5","68.5","68.5","68.5","67.7","68.5","82","82","82","62.8","81","82","30.11","30.11","30.11","30.11","30.12","0.0","66","0.0","337","0.0","337",,,,,,"0.00","0.00","65.0","65.0","65.0","65.0","68.0","6.6",
"2021-07-18 00:40:00","68.6","68.5","68.7","68.6","68.6","67.7","68.7","82","82","82","62.9","81","82","30.11","30.11","30.11","30.11","30.12","0.0","45","0.0","337","0.0","337",,,,,,"0.00","0.00","65.0","65.0","65.0","65.0","68.0","6.6",
"2021-07-18 00:41:00","68.7","68.7","68.7","68.7","68.7","67.7","68.7","82","82","82","63.0","81","82","30.11","30.11","30.11","30.11","30.12","0.0","26","0.0","337","0.0","337",,,,,,"0.00","0.00","65.0","65.0","65.0","65.0","68.0","6.6",
"2021-07-18 00:42:00","68.7","68.7","68.7","68.7","68.7","67.7","68.7","82","82","82","63.0","81","82","30.11","30.11","30.11","30.11","30.12","0.0","360","0.0","337","0.0","337",,,,,,"0.00","0.00","65.9","65.0","65.0","65.0","68.0","6.6",
"2021-07-18 00:43:00","68.7","68.7","68.7","68.7","68.7","67.7","68.7","82","82","82","63.0","81","82","30.11","30.11","30.11","30.11","30.12","0.0","360","0.0","337","0.0","337",,,,,,"0.00","0.00","66.0","66.0","66.0","65.0","68.0","6.6",
"2021-07-18 00:44:00","68.8","68.7","68.9","68.8","68.8","67.7","68.9","82","82","82","63.1","81","82","30.11","30.11","30.11","30.11","30.12","0.0","360","0.0","337","0.0","337",,,,,,"0.00","0.00","66.0","66.0","66.0","65.0","68.0","6.6",
"2021-07-18 00:45:00","68.9","68.9","68.9","68.9","68.9","67.7","68.9","82","82","82","63.2","81","82","30.11","30.11","30.11","30.11","30.12","0.0","360","0.0","337","0.0","337",,,,,,"0.00","0.00","66.0","66.0","66.0","65.0","68.0","6.6",
"2021-07-18 00:46:00","68.9","68.9","68.9","68.9","68.9","67.7","68.9","82","82","82","63.2","81","82","30.11","30.11","30.11","30.11","30.12","0.0","360","0.0","337","0.0","337",,,,,,"0.00","0.00","66.9","66.0","66.0","65.0","68.0","6.6",
"2021-07-18 00:47:00","68.9","68.9","68.9","68.9","68.9","67.7","68.9","82","82","82","63.2","81","82","30.11","30.11","30.11","30.11","30.12","0.0","360","0.0","337","0.0","337",,,,,,"0.00","0.00","67.0","67.0","67.0","65.0","68.0","6.6",
"2021-07-18 00:48:00","68.9","68.9","68.9","68.9","68.9","67.7","68.9","82","82","82","63.2","81","82","30.11","30.11","30.11","30.11","30.12","0.0","360","0.0","337","0.0","337",,,,,,"0.00","0.00","67.0","67.0","67.0","65.0","68.0","6.6",
"2021-07-18 00:49:00","68.9","68.9","68.9","68.9","68.9","67.7","68.9","82","82","82","63.2","81","82","30.11","30.11","30.11","30.11","30.12","0.0","360","0.0","337","0.0","337",,,,,,"0.00","0.00","67.0","67.0","67.0","65.0","68.0","6.6",
"2021-07-18 00:50:00","68.9","68.9","68.9","68.9","68.9","67.7","68.9","82","82","82","63.2","81","82","30.11","30.11","30.11","30.11","30.12","0.1","360","1.3","360","1.3","360",,,,,,"0.00","0.00","67.0","67.0","67.0","65.0","68.0","6.6",
"2021-07-18 00:51:00","68.9","68.9","68.9","68.9","68.9","67.7","68.9","82","82","82","63.2","81","82","30.11","30.11","30.11","30.11","30.12","0.1","360","1.1","360","1.3","360",,,,,,"0.00","0.00","67.9","67.0","67.0","65.0","68.0","6.6",
"2021-07-18 00:52:00","68.9","68.9","68.9","68.9","68.9","67.7","68.9","82","82","82","63.2","81","82","30.11","30.11","30.11","30.11","30.12","0.1","360","1.1","360","1.3","360",,,,,,"0.00","0.00","68.0","68.0","68.0","65.0","68.0","6.6",
"2021-07-18 00:53:00","68.9","68.9","68.9","68.9","68.9","67.7","68.9","82","82","82","63.2","81","82","30.11","30.11","30.11","30.11","30.12","0.1","360","1.1","360","1.3","360",,,,,,"0.00","0.00","68.0","68.0","68.0","65.0","68.0","6.6",
