epoch time,date & time,smell value,skewed latitude,skewed longitude,zipcode,smell description,symptoms,additional comments
1624075697,06/19/2021 00:08:17 -04:00,5,40.4219,-79.8904,15218,Sulfur type smell,"Sore throat, fatigue",I had to turn off my window ac before of the pollution. When is this evil going to get stopped!???
1624090416,06/19/2021 04:13:36 -04:00,5,40.3277,-79.8855,15045,"Clairton mill,  Irvin flares, stinks","Headache, eyes burning can’t breathe",
1624098728,06/19/2021 06:32:08 -04:00,4,40.4862,-80.0481,15212,,,
1624119361,06/19/2021 12:16:01 -04:00,3,40.4147,-79.9702,15210,,,
1624119890,06/19/2021 12:24:50 -04:00,1,40.3221,-79.9693,15236,,,
1624122464,06/19/2021 13:07:44 -04:00,3,40.4244,-79.9234,15217,,,
1624135400,06/19/2021 16:43:20 -04:00,4,40.4313,-79.9166,15217,,,
1624139538,06/19/2021 17:52:18 -04:00,1,40.3063,-80.0462,15102,,,
1624146593,06/19/2021 19:49:53 -04:00,2,40.5157,-80.0017,15237,Wet,They raa,Caw eyteeeytee we wwawwawwr
1624153192,06/19/2021 21:39:52 -04:00,1,40.5571,-80.0606,15237,,,
1624153917,06/19/2021 21:51:57 -04:00,4,40.4859,-80.0481,15212,,,
1624157017,06/19/2021 22:43:37 -04:00,4,40.4603,-79.961,15213,,,
1624157027,06/19/2021 22:43:47 -04:00,4,40.3898,-80.0517,15216,Wood ,Migraine chest pain palpitations ,Please help us prisoner in own home health deteriorating 
1624185747,06/20/2021 06:42:27 -04:00,4,40.4859,-80.0489,15212,,,
1624187075,06/20/2021 07:04:35 -04:00,4,40.4328,-79.8762,15218,"Who cares, it’s the dangerous particulates I can’t smell that impact health. ",Stinging eyes. Increased probability of death. ,
1624187099,06/20/2021 07:04:59 -04:00,3,40.3702,-80.0867,15243,Firepit stink from last night ,,"Between firepits and fireworks, I can't even keep my windows open in the spring and summer. "
1624187969,06/20/2021 07:19:29 -04:00,3,40.4559,-80.0082,15212,Sewage or rotting food,,
